ObjectId,kod,nazev,datum_exportu,GlobalID,SHAPE_Length
67,24601,Jamborova,2023/09/21 00:00:00+00,{B3A0FA15-E583-4754-892D-FB97D643851D},0.00515330185540737
68,21407,Blatného,2023/09/21 00:00:00+00,{8085E24C-402D-418D-864B-A96BBB529A9C},0.0023112378718244
69,25054,Jírovcova,2023/09/21 00:00:00+00,{16000C88-40B5-4014-B090-DEE0C0524A42},0.00908326582010394
70,30881,Rolencova,2023/09/21 00:00:00+00,{6E87D923-8969-48CF-B655-F416AE538851},0.0121975517294714
71,28584,náměstí Vojtěšky Matyášové,2023/09/21 00:00:00+00,{08E290EC-09AA-4F47-A0A0-BA139E63653E},0.0014605836201837
72,660752,Kubánky,2023/09/21 00:00:00+00,{C9B6EC68-E4D7-4B7D-A49D-54F96C6A7916},0.00240887719785416
73,23817,Havraní,2023/09/21 00:00:00+00,{71AFA37F-14EF-4B71-9F7B-428897FB7E9F},0.00687289778196059
74,23787,Halasovo náměstí,2023/09/21 00:00:00+00,{93A0E0D3-B755-4D37-938A-414CFC99AB7E},0.00589081744342202
75,22314,Cihlářská,2023/09/21 00:00:00+00,{A3410961-2471-4B0F-9B46-A795F0A72002},0.00446342150324108
76,26255,Koželužská,2023/09/21 00:00:00+00,{C5E1FC7B-80CD-4466-8B15-8F7F2ECD9A6B},0.000595026352390229
77,34746,Vojtova,2023/09/21 00:00:00+00,{70B8CF40-C3F3-4DFC-A814-FDA70DD52B94},0.00538630349851608
78,30007,Polní,2023/09/21 00:00:00+00,{624524DE-7C69-4813-A066-BE273C990D57},0.01145183337887
79,731641,V Polích,2023/09/21 00:00:00+00,{A5858493-9DCD-4CB9-8902-D4E4A17B00E4},0.00456998250476658
80,34002,Urxova,2023/09/21 00:00:00+00,{401740B9-4C5F-4BFA-8B99-BB4BD197DA7B},0.00114066016884343
81,31518,Skalní,2023/09/21 00:00:00+00,{9AC518B4-D987-48DF-9089-5139802E2D46},0.0042695196997493
82,29483,Pernštejnská,2023/09/21 00:00:00+00,{27539599-1751-430D-BD0F-FBF6987CD424},0.000767848619509771
83,21962,Bulharská,2023/09/21 00:00:00+00,{980DC3FF-98DF-4387-8FE2-72AF90E566AC},0.00781006960121668
84,22632,Deštná,2023/09/21 00:00:00+00,{F99B7E8F-C1B6-42B2-8C41-7922D194D917},0.00258191781350921
85,24864,Jeronýmova,2023/09/21 00:00:00+00,{3782E70E-F202-4FC1-8D61-189064839F9A},0.00461778911331085
86,28916,Nové sady,2023/09/21 00:00:00+00,{4D4E60EC-81B7-4AFE-9D96-B06A95B95857},0.0141869215049221
87,36111,Hořejší,2023/09/21 00:00:00+00,{235FAB7C-6AF5-479B-B540-D7404141D580},0.00206127682658962
88,24627,Jana Babáka,2023/09/21 00:00:00+00,{8144A0A0-4007-431C-95F3-ED044473AC25},0.00615836311713354
89,759520,K Nábřeží,2023/09/21 00:00:00+00,{BF991651-C186-4414-9AC4-A1174E8A13A3},0.00354444192978336
90,710121,V Újezdech,2023/09/21 00:00:00+00,{AFC4162A-FA3A-4945-B6D0-5E989B421AC9},0.00675279518894159
91,27189,Lozíbky,2023/09/21 00:00:00+00,{7F394074-5A9B-49FF-A156-BD834F4FE4A1},0.00605885472817686
92,22381,Čajkovského,2023/09/21 00:00:00+00,{3ABB4363-A411-4655-BAD6-0D09E98BCE97},0.00241010870865506
93,26468,Kroupova,2023/09/21 00:00:00+00,{5CB31CED-BB5E-49F9-96E2-220F98671B26},0.0069639699318214
94,23604,Grohova,2023/09/21 00:00:00+00,{17D5A168-2ACE-4405-9960-FFAF306DD6E5},0.011805457899472
